상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
MA010120220803886258,데상트골프,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012800,한강로3가,1117012800100400999,1,대지,40,999,서울특별시 용산구 한강로3가 40-999,111704106418,서울특별시 용산구 한강대로23길,55,,1117012800100400999012887,현대아이파크몰,서울특별시 용산구 한강대로23길 55,140780,04377,,5,,126.964735959893,37.5297717997901,11030730,한강로동,11030,용산구
MA010120220802940518,크린에이드,해방촌점,S2,수리·개인,S209,세탁,S20901,세탁소,S96912,가정용 세탁업,11,서울특별시,11170,용산구,11170520,용산2가동,1117010200,용산동2가,1117010200100010722,1,대지,1,722,서울특별시 용산구 용산동2가 1-722,111703102005,서울특별시 용산구 신흥로,126,,1117010200100010722025097,가운데,서울특별시 용산구 신흥로 126,140833,04337,,1,,126.982041987048,37.5446151762939,11030520,용산2가동,11030,용산구
MA010120220800143009,호박공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100106020000,1,대지,602,,서울특별시 용산구 한남동 602,111704106031,서울특별시 용산구 대사관로34길,70,,1117013100106020000006460,,서울특별시 용산구 대사관로34길 70,140889,04409,,1,,127.00638083076,37.5302634330558,11030740,한남동,11030,용산구
MA010120220801676562,진로마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,11,서울특별시,11170,용산구,11170590,용문동,1117012100,용문동,1117012100100380214,1,대지,38,214,서울특별시 용산구 용문동 38-214,111704106531,서울특별시 용산구 효창원로37길,29,,1117012100100380214015291,와이제이빌딩,서울특별시 용산구 효창원로37길 29,140832,04356,,1,,126.958780467278,37.5381581894655,11030590,용문동,11030,용산구
MA010120220800283751,바람이불어오는곳,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11170,용산구,11170555,청파동,1117010900,청파동1가,1117010900101540019,1,대지,154,19,서울특별시 용산구 청파동1가 154-19,111703101023,서울특별시 용산구 청파로,330,26,1117010900101540019000038,,서울특별시 용산구 청파로 330-26,140869,04301,,,,126.970554874746,37.5488836056306,11030710,청파동,11030,용산구
MA010120220800272294,레드에스프레소,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11170,용산구,11170625,한강로동,1117012400,한강로1가,1117012400100500001,1,대지,50,1,서울특별시 용산구 한강로1가 50-1,111702005005,서울특별시 용산구 한강대로,205,,1117012400100500001028323,용산파크자이,서울특별시 용산구 한강대로 205,140752,04322,,1,,126.972584977327,37.5366575304205,11030730,한강로동,11030,용산구
MA010120220803659603,가마골,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103010153,1,대지,301,153,서울특별시 용산구 이촌동 301-153,111704106292,서울특별시 용산구 이촌로75길,16,5,1117012900103010153011184,,서울특별시 용산구 이촌로75길 16-5,140906,04423,,,,126.974672234049,37.5207192761778,11030630,이촌1동,11030,용산구
MA010120220803406618,김현행정사사무소,,M1,과학·기술,M103,법무관련 ,M10306,행정사,M71109,기타 법무관련 서비스업,11,서울특별시,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000101080009,1,대지,108,9,서울특별시 용산구 이태원동 108-9,111703102009,서울특별시 용산구 이태원로,179,,1117013000101190024009329,이태원동해밀톤호텔,서울특별시 용산구 이태원로 179,140863,04350,,,,126.993743237978,37.534813495493,11030650,이태원1동,11030,용산구
MA010120220800315230,아세아항공직업전문학교재,,P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원,P85669,기타 기술 및 직업 훈련학원,11,서울특별시,11170,용산구,11170560,원효로1동,1117011200,원효로1가,1117011200100010002,1,대지,1,2,서울특별시 용산구 원효로1가 1-2,111704106268,서울특별시 용산구 원효로97길,25,,1117011200100010002018340,,서울특별시 용산구 원효로97길 25,140846,04314,,,,126.968996130218,37.5418554132515,11030720,원효로1동,11030,용산구
MA010120220800316129,제이제이케터링Yiss점주,,I2,음식,I207,구내식당·뷔페,I20701,구내식당,I56130,기관 구내식당업,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100200100212,2,산,10,212,서울특별시 용산구 한남동 산 10-212,111703102009,서울특별시 용산구 이태원로,285,,1117013100200100212000001,용산국제학교,서울특별시 용산구 이태원로 285,140210,04347,,,,127.000927853211,37.5418684896447,11030740,한남동,11030,용산구
