NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
102000197,03291,이촌2동주민센터,126.9548605606,37.5277028919,일반차로,11030640,이촌2동,11030,용산구
102000198,03292,이촌2동대림아파트.새남터성지,126.9563230524,37.5261753068,일반차로,11030640,이촌2동,11030,용산구
102000199,03293,이촌2동대림아파트.새남터성지,126.9561658719,37.5260292706,일반차로,11030640,이촌2동,11030,용산구
102000200,03294,서부이촌동입구,126.959495368,37.5238640509,일반차로,11030730,한강로동,11030,용산구
102000201,03295,이촌2동강변아파트,126.9597809746,37.5234462055,일반차로,11030640,이촌2동,11030,용산구
102000202,03296,원효2동산호아파트후문,126.9500126665,37.5322600069,일반차로,11030570,원효로2동,11030,용산구
102000203,03297,청암동강변삼성아파트,126.9482434807,37.5346144292,일반차로,11030570,원효로2동,11030,용산구
102000204,03298,청암동강변삼성아파트,126.949323,37.534015,일반차로,11030570,원효로2동,11030,용산구
102000205,03299,원효2동산호아파트,126.9505415559,37.5330177683,일반차로,11030570,원효로2동,11030,용산구
102000206,03300,원효2동산호아파트,126.9508277689,37.5331088986,일반차로,11030570,원효로2동,11030,용산구
102000207,03301,원효로풍전아파트,126.9535225314,37.5321286462,일반차로,11030570,원효로2동,11030,용산구
102000208,03302,원효로풍전아파트,126.9545135613,37.5323687724,일반차로,11030570,원효로2동,11030,용산구
102000209,03303,원효풍전아파트,126.9559182022,37.532742142,일반차로,11030570,원효로2동,11030,용산구
102000210,03304,원효2동주민센터,126.9513961673,37.5344941039,일반차로,11030570,원효로2동,11030,용산구
102000211,03305,산천동리버힐삼성아파트,126.9511923413,37.5345003443,일반차로,11030570,원효로2동,11030,용산구
102000212,03306,산천동.성심여중고후문,126.9536425118,37.5353203855,일반차로,11030570,원효로2동,11030,용산구
102000213,03307,산천동.성심여중고후문,126.9533822284,37.5354081306,일반차로,11030570,원효로2동,11030,용산구
102000214,03308,신창동세방아파트,126.954957565,37.5357083247,일반차로,11030570,원효로2동,11030,용산구
102000215,03309,신창동세방아파트,126.9549471079,37.5358300537,일반차로,11030570,원효로2동,11030,용산구
102000216,03310,남이장군사당,126.9579937738,37.5366590687,일반차로,11030590,용문동,11030,용산구
102000217,03311,남이장군사당,126.9575932164,37.5367544611,일반차로,11030590,용문동,11030,용산구
102000218,03312,용문시장.용문동새마을금고,126.9595337638,37.5370716239,일반차로,11030590,용문동,11030,용산구
