자치구,사업장명,주소,위도,경도,지오코딩출처,매칭주소,지오코딩상태,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
성동구,뚝도아리수정수센터,서울특별시 성동구 왕십리로 27 (성수동1가),37.56023530415396,127.03196934904764,road,서울특별시 성동구 왕십리로21길 27 (행당동),OK,11040560,행당1동,11040,성동구
성동구,(주)용진기전,서울특별시 성동구 자동차시장1길 70 장안평중고자동차시장 A동 3층,37.56005347744528,127.06733888259868,road,서울특별시 성동구 자동차시장1길 70 (용답동),OK,11040700,용답동,11040,성동구
성동구,호산테크닉,서울특별시 성동구 아차산로5길 19-1 (성수동2가),37.54789162404792,127.05248294190167,road,서울특별시 성동구 아차산로5길 19-1 (성수동2가),OK,11040680,성수2가3동,11040,성동구
성동구,한국인터텍테스팅서비스(주),서울특별시 성동구 아차산로5길 7 1층 (성수동2가 아주디지털타워 ),37.546663072317116,127.05193998497502,road,서울특별시 성동구 아차산로5길 7 (성수동2가),OK,11040680,성수2가3동,11040,성동구
성동구,한양대학교,서울특별시 성동구 왕십리로 222 한양대학교 (사근동),37.55839107944937,127.04469998943848,road,서울특별시 성동구 왕십리로 222 (사근동),OK,11040550,사근동,11040,성동구
성동구,(주)동국금속,서울특별시 성동구 성수이로18길 44 1층 (성수동2가),37.541225424035794,127.06181078903222,road,서울특별시 성동구 성수이로18길 44 (성수동2가),OK,11040680,성수2가3동,11040,성동구
성동구,주성바렛연마,서울특별시 성동구 성수동1가 13-14 ,37.55060604529608,127.05167315104956,parcel,서울특별시 성동구 성수동1가 13-14,OK(parcel 폴백),11040660,성수1가2동,11040,성동구
성동구,(주)예스코,서울특별시 성동구 자동차시장길 23 (용답동 예스코),37.560935579946914,127.05744858558799,road,서울특별시 성동구 자동차시장길 23 (용답동),OK,11040700,용답동,11040,성동구
성동구,서울메트로 군자차량사업소,서울특별시 성동구 천호대로78길 58 (용답동),37.556433489999186,127.05466899632358,road,서울특별시 성동구 천호대로78길 58 (용답동),OK,11040700,용답동,11040,성동구
성동구,주-한국아스텐엔지니어링,서울특별시 성동구 자동차시장3길 64 (송정동),,,,,FAIL,,,,
성동구,서울시중랑물재생센터,서울특별시 성동구 자동차시장3길 64 (용답동 중랑물재생센터),,,,,FAIL,,,,
