어린이집명,상세주소,시설 위도(좌표값),시설 경도(좌표값),ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
힐스테이트 어린이집,서울특별시 성동구 성수일로4길 26 서울숲힐스테이트 아파트 단지내 관리노인정 1층 (성수동2가),37.54123386,127.0521307,11040670,성수2가1동,11040,성동구
아이원어린이집,"서울특별시 성동구 난계로 84 107동 101호(하왕십리동, 풍림아이원아파트)",37.55891341,127.025261,11040520,왕십리2동,11040,성동구
엔젤어린이집,"서울특별시 성동구 행당로 82 113동 103호(행당동, 해모로한진타운)",37.55593461,127.0290936,11040570,행당2동,11040,성동구
짐키드어린이집,"서울특별시 성동구 행당로 82 105동 104호(행당동, 해모로한진타운)",37.55593461,127.0290936,11040570,행당2동,11040,성동구
엘림몬테소리어린이집,"서울특별시 성동구 금호로 100 101동 103호(금호동1가, 벽산아파트)",37.55052389,127.0274993,11040590,금호1가동,11040,성동구
꿈나무 어린이집,"서울특별시 성동구 독서당로 218 104동 103호(옥수동, 삼성아파트)",37.54224776,127.0141915,11040730,옥수동,11040,성동구
푸르지오 어린이집,"서울특별시 성동구 금호동4가 독서당로 272 102동 101호(금호동4가, 금호동대우아파트)",37.54633353,127.0198425,11040620,금호4가동,11040,성동구
딩동댕어린이집,서울특별시 성동구 둘레13길 15 (성수동2가),37.53610286,127.052973,11040670,성수2가1동,11040,성동구
구립 성원어린이집,서울특별시 성동구 뚝섬로3길 18 (성수동1가),37.54188615,127.0496567,11040650,성수1가1동,11040,성동구
세림 어린이집,"서울특별시 성동구 마장로42길 16 6동 104호(마장동, 세림아파트)",37.56499505,127.0451705,11040540,마장동,11040,성동구
사랑 어린이집,"서울특별시 성동구 무학로 50 107동 107호(하왕십리동, 청계벽산아파트)",37.56869402,127.0320285,11040710,왕십리도선동,11040,성동구
고운꽃뜰 어린이집,"서울특별시 성동구 행당로 79 120동 102호(행당동, 대림이편한세상아파트)",37.55735443,127.0285183,11040570,행당2동,11040,성동구
금빛 어린이집,"서울특별시 성동구 마장로37길 7 101동 102호(마장동, 대성유니드아파트)",37.56682902,127.0387742,11040540,마장동,11040,성동구
구립 사근다솜어린이집,서울특별시 성동구 사근동길 37 (사근동),37.56105772,127.0455332,11040550,사근동,11040,성동구
성동구청 무지개 어린이집,서울특별시 성동구 왕십리로 281 (행당동)1층,37.55927255,127.035418,11040560,행당1동,11040,성동구
건영아이자람어린이집,"서울특별시 성동구 동일로 263 102동 101호(송정동, 건영아파트)",37.55592699,127.0708094,11040690,송정동,11040,성동구
하늘꿈어린이집,"서울특별시 성동구 고산자로 164 116동 104호(행당동, 한신아파트)",37.55442725,127.0365941,11040560,행당1동,11040,성동구
구립 응봉어린이집,서울특별시 성동구 독서당로60길 12-7,37.54894624,127.0305321,11040580,응봉동,11040,성동구
서울숲미래연 어린이집,서울특별시 성동구 금호로 15 서울숲푸르지오아파트 관리동 1층 (금호동4가),37.54472037,127.0223384,11040620,금호4가동,11040,성동구
아이꿈어린이집,"서울특별시 성동구 행당로 79 122동 101호(행당동, 대림이편한세상아파트)",37.55735443,127.0285183,11040570,행당2동,11040,성동구
하니삐아제 어린이집,서울특별시 성동구 독서당로 272 대우아파트 관리사무소내 하니삐아제 어린이집,37.5459458,127.0195147,11040620,금호4가동,11040,성동구
아이사랑영재 어린이집,"서울특별시 성동구 고산자로 164 102동 104호(행당동, 행당한신)",37.55648283,127.0352744,11040560,행당1동,11040,성동구
구립 은행어린이집,서울특별시 성동구 고산자로10길 18 (행당동),37.55849856,127.0360811,11040560,행당1동,11040,성동구
라온어린이집,"서울특별시 성동구 살곶이길 50 107동 102호(마장동, 현대아파트)",37.56952326,127.0424491,11040540,마장동,11040,성동구
