기준일ID,시간대구분,행정동코드,총생활인구수
20260601,15,11200580,7290.3123
20260601,15,11200590,9944.7743
20260601,15,11200615,13608.6873
20260601,15,11200620,9833.7964
20260601,15,11200645,24514.8707
20260601,15,11200650,22973.9103
20260601,15,11200660,33151.401
20260601,15,11200670,21148.2429
20260601,15,11200690,65785.6105
20260601,15,11200720,9354.2333
20260601,15,11200790,18187.4568
20260601,16,11200520,11373.041
20260601,16,11200535,21157.125
20260601,16,11200540,16974.858
20260601,16,11200550,35047.2565
20260601,16,11200560,48372.1425
20260601,16,11200570,12348.8677
20260601,16,11200580,7388.7048
20260601,16,11200590,10938.9278
20260601,16,11200615,14505.1789
20260601,16,11200620,10479.8805
20260601,16,11200645,25915.0771
20260601,16,11200650,22477.1005
20260601,16,11200660,32617.7145
20260601,16,11200670,21225.3925
20260601,16,11200690,64251.6982
20260601,16,11200720,9362.2183
20260601,16,11200790,17546.2622
20260601,17,11200520,12007.8933
20260601,17,11200535,21757.0632
20260601,17,11200540,17283.4878
20260601,17,11200550,33200.6019
20260601,17,11200560,48408.7879
20260601,17,11200570,13238.361
20260601,17,11200580,7461.6821
20260601,17,11200590,11509.4757
20260601,17,11200615,15175.0686
20260601,17,11200620,10543.106
20260601,17,11200645,28646.2024
20260601,17,11200650,21474.3628
20260601,17,11200660,31776.8577
20260601,17,11200670,20451.0433
20260601,17,11200690,60374.3018
20260601,17,11200720,8972.6551
20260601,17,11200790,17152.0407
20260601,18,11200520,13998.2517
20260601,18,11200535,22409.3682
20260601,18,11200540,17446.5408
20260601,18,11200550,33196.9411
20260601,18,11200560,50366.0405
20260601,18,11200570,14375.2056
20260601,18,11200580,8641.9656
20260601,18,11200590,12166.0707
20260601,18,11200615,16905.4645
20260601,18,11200620,11122.5982
20260601,18,11200645,31722.5672
20260601,18,11200650,19192.3068
20260601,18,11200660,28923.9187
20260601,18,11200670,18301.5987
20260601,18,11200690,48741.0281
20260601,18,11200720,8612.0881
20260601,18,11200790,16442.7647
