NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,ADM_CD,ADM_NM,SIGUNGU_CD,SIGUNGU_NM
103000086,4185,성동교남단.서울숲리버포레,127.0444566298,37.5495163646,일반차로,11040660,성수1가2동,11040,성동구
103000087,4186,성동교남단.서울숲리버포레,127.0439627696,37.5505075164,일반차로,11040660,성수1가2동,11040,성동구
103000088,4187,상원,127.0460506002,37.5514371326,일반차로,11040660,성수1가2동,11040,성동구
103000089,4188,상원,127.0466618972,37.551747737,일반차로,11040660,성수1가2동,11040,성동구
103000090,4189,영동대교북단,127.0607392694,37.5369424226,일반차로,11040670,성수2가1동,11040,성동구
103000091,4190,경수중학교,127.0624288917,37.5397602612,일반차로,11040670,성수2가1동,11040,성동구
103000092,4191,성수119안전센터,127.060132085,37.5373416869,일반차로,11040670,성수2가1동,11040,성동구
103000093,4192,성수119안전센터,127.059997,37.537532,일반차로,11040670,성수2가1동,11040,성동구
103000094,4193,경수중학교,127.0570118184,37.5381650347,일반차로,11040670,성수2가1동,11040,성동구
103000095,4194,경수중학교,127.0572982039,37.5382865442,일반차로,11040670,성수2가1동,11040,성동구
103000096,4195,뚝도시장,127.0553996133,37.5385866142,일반차로,11040670,성수2가1동,11040,성동구
103000097,4196,뚝도시장,127.0552587843,37.5388507297,일반차로,11040670,성수2가1동,11040,성동구
103000098,4197,성원중.성수2가제1동주민센터,127.0534264696,37.5390939396,일반차로,11040670,성수2가1동,11040,성동구
103000099,4198,성원중.성수2가제1동주민센터,127.052845,37.539511,일반차로,11040670,성수2가1동,11040,성동구
103000100,4199,서울숲지구대앞,127.0523417008,37.537867716,일반차로,11040670,성수2가1동,11040,성동구
103000101,4200,서울숲지구대앞,127.0522588868,37.5380509168,일반차로,11040670,성수2가1동,11040,성동구
103000102,4201,뚝도시장구길,127.05527,37.537192,일반차로,11040670,성수2가1동,11040,성동구
103000103,4202,뚝도시장구길,127.0549267531,37.5375520694,일반차로,11040670,성수2가1동,11040,성동구
103000104,4203,성수동진주타운,127.0574889191,37.536617437,일반차로,11040670,성수2가1동,11040,성동구
103000105,4204,성수동진주타운,127.0574923078,37.536759089,일반차로,11040670,성수2가1동,11040,성동구
103000106,4205,성덕정길입구,127.059982,37.536356,일반차로,11040670,성수2가1동,11040,성동구
103000107,4206,성덕정길입구,127.06006565,37.5364382069,일반차로,11040670,성수2가1동,11040,성동구
103000108,4207,화양사거리,127.0666629344,37.5472776746,일반차로,11040680,성수2가3동,11040,성동구
103000109,4208,성수사거리.성수초등학교,127.0641612973,37.5428218897,일반차로,11040680,성수2가3동,11040,성동구
103000110,4209,서울효사랑병원,127.0632745484,37.5412636389,일반차로,11040680,성수2가3동,11040,성동구
103000111,4210,성수2가3동주민센터,127.0553883888,37.5496243675,일반차로,11040680,성수2가3동,11040,성동구
103000112,4211,제인병원,127.0568366874,37.5493511273,일반차로,11040690,송정동,11040,성동구
103000113,4212,성동세무서앞,127.0621853946,37.5479946812,일반차로,11040680,성수2가3동,11040,성동구
103000114,4213,성동세무서,127.064337342,37.548239128,일반차로,11040690,송정동,11040,성동구
103000115,4214,송정동서울숲아이파크,127.0692473283,37.551825481,일반차로,11040690,송정동,11040,성동구
103000116,4215,송정동건영아파트,127.07115,37.555205,일반차로,11040690,송정동,11040,성동구
103000117,4216,군자교남단,127.0724414557,37.5575371596,일반차로,11040690,송정동,11040,성동구
103000118,4217,신답역,127.0475025717,37.570211077,일반차로,11040700,용답동,11040,성동구
103000119,4218,용답동로데오거리.답십리역,127.0539458148,37.5657033305,일반차로,11040700,용답동,11040,성동구
103000120,4221,서울교통공사.서울새활용플라자,127.0569134234,37.5620495039,일반차로,11040700,용답동,11040,성동구
103000121,4222,뚝섬서울숲,127.036601198,37.544618041,일반차로,11040650,성수1가1동,11040,성동구
103000122,4223,뚝섬서울숲,127.0363946274,37.5456718598,일반차로,11040650,성수1가1동,11040,성동구
103000125,4226,사근동하이츠아파트앞,127.0486060331,37.5611984155,일반차로,11040550,사근동,11040,성동구
103000126,4227,사근동하이츠아파트앞,127.0486881757,37.561306176,일반차로,11040550,사근동,11040,성동구
103000127,4228,사근동주민센터,127.0456489178,37.5608144197,일반차로,11040550,사근동,11040,성동구
103000128,4229,사근동주민센터,127.0457112392,37.5609315252,일반차로,11040550,사근동,11040,성동구
103000129,4230,사근고개,127.0445908781,37.5611617078,일반차로,11040550,사근동,11040,성동구
103000130,4231,사근고개,127.0445101518,37.5612555615,일반차로,11040550,사근동,11040,성동구
103000131,4232,한양지구대,127.0420211147,37.5602143513,일반차로,11040550,사근동,11040,성동구
103000132,4233,한양지구대,127.0419242341,37.5602445802,일반차로,11040550,사근동,11040,성동구
103000133,4234,사근동벽산아파트,127.0499269056,37.5601892041,일반차로,11040550,사근동,11040,성동구
103000134,4236,뚝섬역8번출구,127.0455095172,37.5476928251,일반차로,11040660,성수1가2동,11040,성동구
103000135,4237,뚝섬역2번출구,127.046846,37.547575,일반차로,11040660,성수1가2동,11040,성동구
103000136,4238,뚝섬역5번출구,127.0492754339,37.5464803389,일반차로,11040660,성수1가2동,11040,성동구
