기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20260501,01,11170690,13098.3301,547.4372,394.7658,489.4606,300.3584,296.4982,357.1193,454.1263,663.6218,635.7061,619.5904,541.5719,398.2458,252.4059,537.3602,503.172,321.4704,383.3995,377.4199,353.5302,360.8937,482.1363,652.4514,713.2537,503.7894,502.1536,398.382,279.5858,778.4247
20260501,01,11170700,6425.2606,153.0897,103.977,231.3248,157.1303,228.8746,194.9271,264.9025,262.4763,345.5397,248.9014,283.6244,232.8896,141.8473,323.3282,105.2832,67.1873,118.0323,188.8685,185.1011,217.9237,231.7413,326.4672,346.5898,287.7773,245.8188,261.927,181.6053,488.1053
20260501,02,11170510,13706.3456,386.567,213.6449,298.9081,261.034,494.3534,590.139,698.5393,580.991,548.376,519.2443,507.5031,413.0966,294.531,580.9296,425.3458,224.7937,271.1753,460.8013,585.1333,588.7294,763.2839,535.735,591.6566,490.4582,527.6801,476.5869,389.9526,987.1549
20260501,02,11170520,10720.0176,184.8526,99.39,226.517,292.5179,475.2359,538.6439,644.1304,489.3755,499.1764,359.6216,356.6136,194.3544,201.6131,433.1938,230.5401,130.3051,273.7111,365.3871,538.2916,604.4384,612.8656,428.743,480.1031,362.7714,311.5379,318.4776,273.541,794.0695
20260501,02,11170530,8046.3952,80.0173,38.6099,168.0373,288.1436,369.4872,434.7897,505.0881,374.5217,333.0573,337.062,437.1813,383.0215,211.015,370.9912,118.2785,53.8503,146.7638,371.2774,364.6807,367.8087,366.6017,270.1126,319.7391,269.2926,254.1291,225.2857,152.5234,435.028
20260501,02,11170555,21381.4976,354.1212,254.9672,372.293,611.9735,936.1313,1088.249,1151.8705,785.5106,758.0943,786.0729,649.3434,502.4558,361.0374,635.5674,327.2952,177.4054,698.2223,2067.7719,1532.6071,1252.4137,1101.8126,781.3624,742.8543,626.7925,713.181,563.5975,390.7748,1157.72
20260501,02,11170560,18452.1499,622.979,199.0582,310.802,300.6865,653.3868,951.8059,1177.0246,955.5587,889.6549,648.3978,537.4596,438.9179,215.5307,472.2064,699.8329,207.2377,262.8061,752.7324,1090.2212,1244.906,1415.9996,986.0571,740.4158,642.5335,528.2076,507.4617,285.0065,715.2614
20260501,02,11170570,15743.4954,546.0287,244.152,335.7275,288.0067,471.0295,671.3796,649.32,639.1732,726.1858,525.325,627.4846,447.7258,292.0971,707.8964,371.2708,297.1422,336.9432,566.8239,703.3625,806.9511,832.8895,753.6771,633.373,624.5838,623.5765,554.3738,398.6407,1068.3554
20260501,02,11170580,10277.1281,248.6079,146.8037,183.2281,244.698,384.5114,441.5983,544.4814,450.9826,443.0622,376.5074,323.045,273.6187,172.6572,376.9533,387.4717,182.813,241.1792,426.1668,480.2614,557.4788,564.64,471.6899,463.0571,352.8235,407.3701,297.7605,234.4141,599.2467
20260501,02,11170590,8156.7148,248.093,112.0727,205.1821,139.7768,246.9606,314.7113,420.0109,347.7629,306.5972,268.714,337.3171,233.5216,167.3465,294.0028,290.5152,127.9937,140.4122,246.9227,331.3775,430.6433,517.5537,320.2774,308.7994,275.8169,398.658,325.65,218.3368,581.6893
20260501,02,11170625,34069.4315,927.3591,391.2909,725.6274,1985.8989,1325.225,1663.7253,1959.41,1712.7379,1635.4504,1207.4924,1347.051,858.4456,498.9237,1012.4089,894.1189,332.7882,513.1222,1168.5893,1576.2151,1911.3925,2177.8305,1622.9579,1373.9591,1209.8164,1113.534,910.438,588.7586,1424.8639
20260501,02,11170630,24805.2326,1478.3175,793.9831,686.2504,456.4952,475.7115,467.5734,800.7769,1021.2254,1083.8137,984.9668,985.6093,665.1887,466.3868,1009.7955,1331.6536,687.8556,627.1583,585.5253,534.786,628.7326,1142.0663,1267.5563,1336.4525,1175.2207,1035.5795,852.2631,579.8773,1644.4113
20260501,02,11170640,7422.3059,219.4872,76.7604,134.6757,168.3631,195.777,235.6466,423.4646,399.7289,291.2533,249.9314,296.6396,278.7017,188.3609,308.0603,166.0914,75.4962,147.1921,268.6566,240.8512,293.5903,409.1743,348.3727,303.9404,226.7047,299.785,275.6246,241.9711,658.0043
20260501,02,11170650,13753.1871,95.2703,51.0156,262.5969,1218.0766,1606.837,1312.2849,964.131,520.3116,585.6563,302.5004,219.2602,185.2392,124.6405,312.9694,169.0765,75.1451,271.6166,976.7261,1228.7927,780.1701,526.0297,347.8141,312.1245,217.6207,268.3933,187.6513,168.7991,462.4377
20260501,02,11170660,11825.6289,323.8678,146.8701,193.0414,263.831,420.4612,560.6896,668.0192,730.1241,608.9695,431.7018,359.3164,238.6555,180.2648,439.0096,352.0662,173.4446,224.826,394.3098,520.9982,648.9968,700.9192,654.5468,689.4023,386.7856,381.1693,301.161,244.7591,587.4229
20260501,02,11170685,21340.7172,800.573,343.6479,375.6089,827.878,1035.5091,1051.4297,1254.0522,1204.9247,1100.7345,804.3585,771.0318,481.9821,310.5042,583.4019,472.6159,211.4121,383.6102,697.9782,874.3975,1011.223,1170.9367,1277.6008,901.7275,700.9858,684.66,568.3145,426.7014,1012.916
20260501,02,11170690,13326.8539,558.3184,402.612,502.6823,296.9216,304.6313,346.6561,470.9823,662.0352,645.9678,647.1337,556.4268,391.2332,245.8621,540.8385,495.4431,316.5324,389.5208,405.0039,346.8096,371.9514,498.3272,672.6675,733.1936,500.6007,520.6839,401.789,292.1999,809.8307
20260501,02,11170700,6434.2975,154.4951,104.9317,228.6669,139.1979,236.0053,193.5635,265.4703,251.4665,345.1039,263.3304,282.4529,234.2116,144.4663,324.5986,105.3542,67.2327,123.1663,181.2432,205.6529,219.8601,221.5319,309.6712,344.2257,291.8224,238.9788,271.8128,178.4386,507.3466
20260501,03,11170510,13675.5342,368.8372,203.8459,313.644,268.2313,492.5981,588.6828,673.3497,589.0159,566.5297,523.0213,493.6866,412.9917,290.5139,603.1294,444.4174,234.8731,280.6199,431.2292,573.6055,598.7229,742.4207,541.8445,596.8908,486.9312,519.1197,467.229,394.2451,975.3077
20260501,03,11170520,10849.3322,185.6664,99.8275,220.3245,299.3521,510.4025,564.1569,679.324,486.6854,515.0833,373.0579,359.0187,204.1788,201.2346,429.956,209.2733,118.2851,277.1944,393.5796,534.5686,601.4455,594.231,428.5314,485.1744,355.5106,312.1991,337.2985,267.0575,806.7144
20260501,03,11170530,7916.0688,84.2994,40.6761,156.7645,277.5186,370.987,416.309,502.3063,359.1657,315.7649,311.4663,474.5719,374.6408,196.8415,353.0346,112.7623,51.3388,143.3896,366.6547,395.7177,365.1801,378.1319,252.2876,301.6693,229.4148,273.5334,212.4626,162.8659,436.314
20260501,03,11170555,21474.7732,332.6742,239.5252,366.237,574.4071,926.6006,1107.0627,1167.3353,791.3112,787.933,751.8439,628.1924,521.3886,360.9336,640.1302,344.7606,186.8723,715.5359,2111.2685,1543.9176,1246.8554,1124.4946,767.2006,716.1806,619.4405,714.7818,585.4567,387.8017,1214.6336
20260501,03,11170560,18272.8353,654.6388,209.1743,316.0604,295.734,624.9953,958.2561,1171.8136,961.4588,851.8732,632.5233,550.9435,426.1732,223.6108,463.6046,666.2681,197.2981,282.7428,734.2631,1063.5904,1239.6943,1392.2223,961.0996,753.2716,654.6522,526.2394,485.0788,280.0011,695.5536
20260501,03,11170570,15751.0061,504.7543,225.6962,347.3356,279.3454,489.5676,675.7364,672.4391,638.8614,740.5451,519.1514,639.2202,447.235,309.2829,716.9004,382.1956,305.8861,324.5505,569.1249,701.9148,819.5674,834.8805,754.5947,613.1206,598.4547,629.8212,555.9868,399.7163,1055.1219
20260501,03,11170580,10239.6058,249.592,147.3851,169.3595,237.6705,384.2074,456.2509,554.3625,455.3579,438.0629,377.8738,346.1969,261.9318,160.2133,392.2625,356.4379,168.1707,247.3702,422.9168,477.7968,567.9201,557.2701,472.6215,442.311,359.2191,389.4447,303.0597,239.4196,604.9207
20260501,03,11170590,8193.3612,257.268,116.2171,229.6987,157.6871,258.0546,306.6982,405.6498,350.517,326.6608,276.101,327.745,227.1906,165.8003,300.9021,277.3076,122.1744,146.407,243.6401,343.2378,441.37,512.6499,324.6396,299.4059,284.8745,380.983,314.3974,220.3416,575.7426
20260501,03,11170625,33612.7069,876.5531,369.8536,752.4188,1929.4209,1231.0569,1612.2601,1883.5115,1668.0109,1642.032,1217.6007,1349.5247,836.6903,486.4509,1001.5794,936.3929,348.5224,508.9558,1111.9182,1522.3917,1860.3509,2156.3061,1620.0869,1378.9063,1233.8225,1117.2462,914.0987,608.501,1438.2414
