도로명주소,상권업종대분류명,경도,위도
서울특별시 용산구 청파로 74,보건의료,126.9595641,37.5327885
서울특별시 용산구 청파로47길 81,음식,126.9658943,37.54491796
서울특별시 용산구 두텁바위로 147,소매,126.9808747,37.55148961
서울특별시 용산구 청파로 378,음식,126.9704869,37.54911785
서울특별시 용산구 청파로73길 7,소매,126.9692192,37.54980228
서울특별시 용산구 새창로 213-9,숙박,126.9676431,37.53066462
서울특별시 용산구 보광로60길 15,음식,126.9950331,37.53408375
서울특별시 용산구 원효로 246,음식,126.9686011,37.53949469
서울특별시 용산구 회나무로 51,음식,126.9922832,37.54014733
서울특별시 용산구 원효로1길 16,음식,126.9456236,37.53516154
서울특별시 용산구 이태원로20길 18-1,음식,126.9921028,37.53353398
서울특별시 용산구 대사관로34길 41,예술·스포츠,127.0060302,37.53148881
서울특별시 용산구 보광로 124,음식,126.9942864,37.53384945
서울특별시 용산구 대사관로5길 17,음식,127.0005657,37.53497584
서울특별시 용산구 한강대로 92,보건의료,126.9675198,37.52817783
서울특별시 용산구 한강대로23길 55,음식,126.964736,37.5297718
서울특별시 용산구 백범로74길 50,음식,126.9612129,37.53851941
서울특별시 용산구 이태원로27가길 18,음식,126.9942637,37.5351559
서울특별시 용산구 효창원로 132,예술·스포츠,126.961778,37.53977199
서울특별시 용산구 청파로89길 42,숙박,126.9665808,37.55338754
서울특별시 용산구 우사단로 37,음식,126.9954404,37.53353415
서울특별시 용산구 새창로 131-9,음식,126.9619158,37.5359608
서울특별시 용산구 한남대로18길 18,음식,127.0083838,37.53434484
서울특별시 용산구 신흥로 42,음식,126.9874966,37.54212011
서울특별시 용산구 이태원로36길 18-9,음식,126.999027,37.53435415
서울특별시 용산구 청파로47가길 7-11,소매,126.9673203,37.54455796
서울특별시 용산구 대사관로 56,소매,127.0041975,37.53328189
서울특별시 용산구 이태원로26길 19,음식,126.9935736,37.53363318
서울특별시 용산구 후암로57길 9-1,숙박,126.9741973,37.55304707
서울특별시 용산구 한강대로84길 11-9,음식,126.9731254,37.54397377
서울특별시 용산구 후암로 14,음식,126.9783297,37.54721844
서울특별시 용산구 한강대로77길 21,음식,126.9715422,37.54163981
서울특별시 용산구 이태원로 211,음식,126.9972733,37.53499383
서울특별시 용산구 이태원로 143-28,음식,126.989161,37.53471405
서울특별시 용산구 후암로 37-1,음식,126.9774011,37.5493266
서울특별시 용산구 한강대로14길 20,음식,126.9652361,37.52465426
서울특별시 용산구 한강대로80길 15,음식,126.9736464,37.54273051
