정류소명,경도,위도,월평균승객수
한남동,127.0084446,37.5339127,52899.4
이태원역.보광동입구,126.994213,37.5334,52690.2
해방촌,126.9866091,37.53781774,52689
노들섬,126.9590377,37.51736384,51702.8
녹사평역.용산구청,126.9871838,37.53513958,51176.2
한남동,127.0087003,37.53375499,50932.4
국군재정관리단,126.9868496,37.53731771,50060.4
서빙고신동아아파트,126.9851054,37.51793695,49785.4
한강진역.블루스퀘어,127.0020254,37.54092918,49436.2
용산구청.이태원시장,126.9900096,37.53411271,49431.4
원효로2가,126.9629911,37.53623744,49181
보광동신동아아파트,127.0015149,37.52562379,48561.8
한남동주민센터,127.0004667,37.53704589,46101.2
원효로3가,126.9581798,37.53404076,46060.4
숙대역5번출구,126.9725115,37.54403813,45715
노들섬,126.9586052,37.51751618,45682.4
한강진역.블루스퀘어,127.001695,37.540805,45591.2
후암동종점.용산중학교,126.9809588,37.54669893,45009.6
남산도서관.용산도서관,126.9818462,37.55234367,44748.4
남산도서관.용산도서관,126.981134,37.55204425,44739.2
용산2가동주민센터.보성여중고,126.9856226,37.54628268,44575.4
순천향대학병원,127.0062994,37.5356114,44443.4
이태원역4번출구.해밀턴호텔,126.9934293,37.53435397,44419.8
이촌동한가람아파트.이촌역,126.9718843,37.5206563,44135.8
이촌동한강맨션.이촌역,126.9727098,37.52018049,43923
전쟁기념관,126.9768578,37.53475867,43901.6
원효로3가,126.9583248,37.53379572,43819
용산꿈나무종합타운.원효로우체국,126.9669291,37.5386139,43264.8
용산역광장앞,126.965617,37.528333,43062.2
이태원역1번출구.해밀턴호텔,126.993043,37.534552,43018.8
한남역.용산노인종합복지관,127.0077699,37.53066879,42478.4
서울시기술교육원중부.블루스퀘어,127.0033852,37.54169186,42349
용산경찰서,126.9691858,37.54050321,42225.4
한남동주민센터,127.0006043,37.5367073,42197.4
숙명여대후문.이봉창활동터,126.9632996,37.54608397,42111.4
원효로제1동주민센터,126.9669923,37.53766072,42038.6
한신아파트,126.9866957,37.53898273,41584.8
용산2가동주민센터.보성여중고,126.98584,37.54639685,39353.2
순천향대학병원,127.0054994,37.53579346,39336.6
용산경찰서,126.9690615,37.53999946,39079.2
남정초등학교,126.9636632,37.53631875,38767
장충단로입구,127.002202,37.545795,38068.2
숙대입구역,126.970799,37.544479,37896.2
보광동주민센터,127.0005046,37.52645912,36890.6
녹사평역,126.9853047,37.53475822,36701.6
이태원동남산대림아파트.용산동아파트,126.98748,37.53987437,36682
이촌동현대아파트,126.978712,37.51853368,36429.6
남영역.민주화운동기념관,126.9709245,37.54222024,36257.4
용산구청.이태원시장,126.9904707,37.53438305,35708.4
용산한신아파트,126.9871086,37.53980547,35574
갈월동사회복지관.남영우체국,126.973962,37.545409,35364.6
이태원119안전센터,126.9971799,37.53460415,35203.2
후암시장,126.9775446,37.54974673,35016
손기정체육공원,126.966423,37.55421533,34130.6
녹사평역,126.9851183,37.53510696,33344.6
서빙고신동아아파트,126.985203,37.517749,33248.2
한국폴리텍1대학,126.9965748,37.53052935,32789.6
후암동종점,126.9813662,37.54670079,32536.2
숙명여대도서관앞,126.9672217,37.54484687,32427.8
숙대입구역.청파동주민센터,126.9704189,37.54548616,32167.4
신용산지하차도,126.963882,37.53259,31978.4
이촌동두산위브트레지움.한강대우아파트,126.9675283,37.52157348,31784.4
신용산초등학교,126.9745085,37.51984977,31780.2
이태원119안전센터,126.996387,37.53479,31437.6
이촌동점보아파트,126.9784409,37.5183828,31099.6
삼각지역11번출구.전쟁기념관,126.974548,37.536204,30901
후암시장,126.9770645,37.55068919,29474.8
남산도서관.용산도서관,126.980835,37.552282,29043.2
이촌1동충신교회앞,126.9684808,37.52128315,28237.6
한국폴리텍1대학,126.9967926,37.53019599,27982.6
원효2동산호아파트,126.9505416,37.53301777,27944.4
용산e편한세상,126.9654678,37.53746206,27534
서부이촌동입구,126.9594954,37.52386405,27430
하얏트호텔,126.9961358,37.54175355,27248.4
서울역11번출구,126.9738944,37.55361688,27183
숙명여대정문,126.9643097,37.54513077,27008.4
남영우체국,126.9732354,37.54512412,25839.8
한남역.용산노인종합복지관,127.0067957,37.53122393,25697.4
순천향병원입구,127.0067506,37.53263055,24947
동빙고동,126.9966907,37.52081836,24939.6
용문시장,126.960968,37.53634792,24696.6
청암동강변삼성아파트,126.949323,37.534015,24580.8
하얏트호텔,126.9974258,37.5408661,24335
동빙고동,126.997039,37.52126256,24308.8
하얏트호텔,126.9969933,37.54066038,24127.8
원효로풍전아파트,126.9535225,37.53212865,24075.4
서빙고역교차로,126.9899,37.520427,23569
용산중고,126.978225,37.547205,23506.2
원효2동주민센터,126.9513962,37.5344941,23487.2
보광동,126.9988968,37.52818201,23368.2
효창공원후문,126.9625779,37.54679103,23171.6
이촌2동강변아파트,126.959781,37.52344621,23098.2
신용산역,126.9674545,37.52991665,22703
순천향병원입구,127.0069961,37.53269451,22660.6
보광동,126.999026,37.528342,22641.4
원효2동산호아파트,126.9508278,37.5331089,22433.8
원효로2가사거리,126.9610704,37.53493384,22364.2
원효대교북단,126.956111,37.53198537,22213.4
금강병원.반도아파트,126.9811234,37.51770433,22182.6
청파초등학교,126.9635057,37.54846998,21769.2
갈월동.숙대입구역10번출구,126.9716592,37.54638586,21679.2
후암동종점,126.9813595,37.54650165,21645.2
용산푸르지오써밋,126.9645788,37.52723093,21534.2
숙명여대정문,126.9641095,37.5449595,20976.2
후암시장,126.9768044,37.55006648,20527.2
효창공원삼거리.윤봉길의사등묘역,126.9638369,37.54460709,19830.4
원효로풍전아파트,126.9545136,37.53236877,19770.6
신흥교회앞,126.9833879,37.54462317,19406.4
이촌2동대림아파트.새남터성지,126.9561659,37.52602927,19268.4
한신아파트,126.9512589,37.50873975,19241.6
문배어린이공원,126.96959,37.53714312,19156
신흥교회앞,126.9833868,37.54474572,18788.2
이촌2동대림아파트.새남터성지,126.9563231,37.52617531,18755.2
후암삼거리,126.9765772,37.55254084,18637
숙대입구역.청파동주민센터,126.9707772,37.54538125,18476.6
이촌2동주민센터,126.9548606,37.52770289,18264.6
효창공원후문,126.9608921,37.54706884,18083.4
원효대교북단,126.9556103,37.53213836,17987.4
효창동주민센터.금양초등학교,126.9622337,37.54162396,17871.4
이촌동동부센트레빌,126.9660096,37.52155954,17570.8
한남시범아파트,127.0122608,37.53794297,16984.4
금양초등학교,126.9620007,37.54129925,16792
용산꿈나무종합타운.보건분소,126.964648,37.538295,16756.6
용산역사박물관.용산철도고등학교,126.966015,37.52559728,16756
용산중고,126.9781856,37.54665979,16737.8
한남시범아파트,127.0126715,37.53770414,16660
한신아파트,126.9865577,37.53898812,16448.8
서울역공항철도15번출구,126.9688468,37.55307791,16444.4
서빙고역1번출구,126.9894855,37.52003451,16242.2
용마루고개.효창파크푸르지오아파트,126.958552,37.54029991,16108.8
우리들가정의원,126.987795,37.54323151,15769.4
이촌역,126.9740269,37.52236347,15612
